Rank,Series,Product Division,Business Unit,Sum of Units Sold,Sum of Trade Sales,Date,Actual Sell-In,Biz Forecast Value,ML Forecast Value,ML Forecast Upper Bound,ac_model,ww_model,gs_model,Model,Biz Rolling Accuracy,ML Rolling Accuracy,Rolling ML-Biz,12M Weighted Avg Biz Rolling Accuracy,12M Weighted Avg ML Rolling Accuracy,12M Weighted Avg Rolling ML-Biz,6M Weighted Avg Biz Rolling Accuracy,6M Weighted Avg ML Rolling Accuracy,6M Weighted Avg Rolling ML-Biz,12M Simple Avg Biz Rolling Accuracy,12M Simple Avg ML Rolling Accuracy,Biz Accuracy,ML Accuracy,ML-Biz,12M Weighted Avg Biz Accuracy,12M Weighted Avg ML Accuracy,12M Simple Avg Biz Accuracy,12M Simple Avg ML Accuracy,AC Rolling Accuracy,Rolling AC-Biz,WW Rolling Accuracy,Rolling WW-Biz,GS Rolling Accuracy,Rolling GS-Biz,12M Weighted Avg AC Rolling Accuracy,12M Weighted Avg WW Rolling Accuracy,12M Weighted Avg GS Rolling Accuracy,6M Weighted Avg AC Rolling Accuracy,6M Weighted Avg WW Rolling Accuracy,6M Weighted Avg GS Rolling Accuracy,12M Simple Avg AC Rolling Accuracy,12M Simple Avg WW Rolling Accuracy,12M Simple Avg GS Rolling Accuracy,AC Accuracy,AC-Biz,WW Accuracy,WW-Biz,GS Accuracy,GS-Biz,12M Weighted Avg AC Accuracy,12M Weighted Avg WW Accuracy,12M Weighted Avg GS Accuracy,12M Simple Avg AC Accuracy,12M Simple Avg WW Accuracy,12M Simple Avg GS Accuracy,Biz Forecast Count,ML Forecast Count,AC Forecast Count,WW Forecast Count,GS Forecast Count,Biz High Accuracy >= 0.5,ML High Accuracy >= 0.5,AC High Accuracy >= 0.5,WW High Accuracy >= 0.5,GS High Accuracy >= 0.5,ML_win_tie,ML_win_no_tie,ML_rolling_win_tie,ML_rolling_win_no_tie,AC_win_tie,AC_win_no_tie,AC_rolling_win_tie,AC_rolling_win_no_tie,WW_win_tie,WW_win_no_tie,WW_rolling_win_tie,WW_rolling_win_no_tie,GS_win_tie,GS_win_no_tie,GS_rolling_win_tie,GS_rolling_win_no_tie,12M Total Actual Sell-In,total_Biz_diff,total_ML_diff,total_AC_diff,total_WW_diff,total_GS_diff,Biz_diff,ML_diff,AC_diff,WW_diff,GS_diff,Actual rolling sum,Biz rolling sum,ML rolling sum,AC rolling sum,WW rolling sum,GS rolling sum,Month_to_Month_Confidence,Rolling_Confidence,Weighted_Avg_Confidence,AC_Confidence,WW_Confidence,GS_Confidence,Previous_Confidence,Final_Confidence
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2023-08-31,62782.0,,,,,,,No Forecast,0.0,0.0,0.0,0.5129889761408736,0.8669217044594798,0.3539327283186062,0.5020962161470466,0.935937295838659,0.43384107969161245,0.5113817401039168,0.8592143999941234,0.0,0.0,0.0,0.5588523239937239,0.7542682026199437,0.5608265154928117,0.7481182343402359,0.0,0.0,0.0,0.0,0.0,0.0,0.7070125990507505,0.7867634031126405,0.8669217044594798,0.9097308009630647,0.7953438671706544,0.935937295838659,0.6639596671645444,0.7920441988623236,0.8592143999941234,0.0,0.0,0.0,0.0,0.0,0.0,0.684728059087468,0.7257121853051498,0.7542682026199437,0.6511028155792581,0.7162326636301923,0.7481182343402359,17,14,14,14,14,7,12,7,12,12,8,8,12,12,6,6,7,7,10,10,12,12,8,8,12,12,1169051.0,512240.0,195864.0,412589.0,107338.0,195864.0,,,,,,,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2023-09-30,78499.0,,,,,,,No Forecast,0.0,0.0,0.0,0.5129889761408736,0.8669217044594798,0.3539327283186062,0.5020962161470466,0.935937295838659,0.43384107969161245,0.5113817401039168,0.8592143999941234,0.0,0.0,0.0,0.5588523239937239,0.7542682026199437,0.5608265154928117,0.7481182343402359,0.0,0.0,0.0,0.0,0.0,0.0,0.7070125990507505,0.7867634031126405,0.8669217044594798,0.9097308009630647,0.7953438671706544,0.935937295838659,0.6639596671645444,0.7920441988623236,0.8592143999941234,0.0,0.0,0.0,0.0,0.0,0.0,0.684728059087468,0.7257121853051498,0.7542682026199437,0.6511028155792581,0.7162326636301923,0.7481182343402359,17,14,14,14,14,7,12,7,12,12,8,8,12,12,6,6,7,7,10,10,12,12,8,8,12,12,1169051.0,512240.0,195864.0,412589.0,107338.0,195864.0,,,,,,,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2023-10-31,144322.0,,,,,,,No Forecast,0.0,0.0,0.0,0.5129889761408736,0.8669217044594798,0.3539327283186062,0.5020962161470466,0.935937295838659,0.43384107969161245,0.5113817401039168,0.8592143999941234,0.0,0.0,0.0,0.5588523239937239,0.7542682026199437,0.5608265154928117,0.7481182343402359,0.0,0.0,0.0,0.0,0.0,0.0,0.7070125990507505,0.7867634031126405,0.8669217044594798,0.9097308009630647,0.7953438671706544,0.935937295838659,0.6639596671645444,0.7920441988623236,0.8592143999941234,0.0,0.0,0.0,0.0,0.0,0.0,0.684728059087468,0.7257121853051498,0.7542682026199437,0.6511028155792581,0.7162326636301923,0.7481182343402359,17,14,14,14,14,7,12,7,12,12,8,8,12,12,6,6,7,7,10,10,12,12,8,8,12,12,1169051.0,512240.0,195864.0,412589.0,107338.0,195864.0,,,,,,285603.0,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2023-11-30,114269.0,,,,,,,No Forecast,0.0,0.0,0.0,0.5129889761408736,0.8669217044594798,0.3539327283186062,0.5020962161470466,0.935937295838659,0.43384107969161245,0.5113817401039168,0.8592143999941234,0.0,0.0,0.0,0.5588523239937239,0.7542682026199437,0.5608265154928117,0.7481182343402359,0.0,0.0,0.0,0.0,0.0,0.0,0.7070125990507505,0.7867634031126405,0.8669217044594798,0.9097308009630647,0.7953438671706544,0.935937295838659,0.6639596671645444,0.7920441988623236,0.8592143999941234,0.0,0.0,0.0,0.0,0.0,0.0,0.684728059087468,0.7257121853051498,0.7542682026199437,0.6511028155792581,0.7162326636301923,0.7481182343402359,17,14,14,14,14,7,12,7,12,12,8,8,12,12,6,6,7,7,10,10,12,12,8,8,12,12,1169051.0,512240.0,195864.0,412589.0,107338.0,195864.0,,,,,,337090.0,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2023-12-31,73792.0,,,,,,,No Forecast,0.0,0.0,0.0,0.5129889761408736,0.8669217044594798,0.3539327283186062,0.5020962161470466,0.935937295838659,0.43384107969161245,0.5113817401039168,0.8592143999941234,0.0,0.0,0.0,0.5588523239937239,0.7542682026199437,0.5608265154928117,0.7481182343402359,0.0,0.0,0.0,0.0,0.0,0.0,0.7070125990507505,0.7867634031126405,0.8669217044594798,0.9097308009630647,0.7953438671706544,0.935937295838659,0.6639596671645444,0.7920441988623236,0.8592143999941234,0.0,0.0,0.0,0.0,0.0,0.0,0.684728059087468,0.7257121853051498,0.7542682026199437,0.6511028155792581,0.7162326636301923,0.7481182343402359,17,14,14,14,14,7,12,7,12,12,8,8,12,12,6,6,7,7,10,10,12,12,8,8,12,12,1169051.0,512240.0,195864.0,412589.0,107338.0,195864.0,,,,,,332383.0,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2024-01-31,74002.0,,,,,,,No Forecast,0.0,0.0,0.0,0.5129889761408736,0.8669217044594798,0.3539327283186062,0.5020962161470466,0.935937295838659,0.43384107969161245,0.5113817401039168,0.8592143999941234,0.0,0.0,0.0,0.5588523239937239,0.7542682026199437,0.5608265154928117,0.7481182343402359,0.0,0.0,0.0,0.0,0.0,0.0,0.7070125990507505,0.7867634031126405,0.8669217044594798,0.9097308009630647,0.7953438671706544,0.935937295838659,0.6639596671645444,0.7920441988623236,0.8592143999941234,0.0,0.0,0.0,0.0,0.0,0.0,0.684728059087468,0.7257121853051498,0.7542682026199437,0.6511028155792581,0.7162326636301923,0.7481182343402359,17,14,14,14,14,7,12,7,12,12,8,8,12,12,6,6,7,7,10,10,12,12,8,8,12,12,1169051.0,512240.0,195864.0,412589.0,107338.0,195864.0,,,,,,262063.0,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2024-02-29,50659.0,23811.0,,,,,,No Forecast,0.0,0.0,0.0,0.5129889761408736,0.8669217044594798,0.3539327283186062,0.5020962161470466,0.935937295838659,0.43384107969161245,0.5113817401039168,0.8592143999941234,0.47002506958289736,0.0,-0.47002506958289736,0.5588523239937239,0.7542682026199437,0.5608265154928117,0.7481182343402359,0.0,0.0,0.0,0.0,0.0,0.0,0.7070125990507505,0.7867634031126405,0.8669217044594798,0.9097308009630647,0.7953438671706544,0.935937295838659,0.6639596671645444,0.7920441988623236,0.8592143999941234,0.0,-0.47002506958289736,0.0,-0.47002506958289736,0.0,-0.47002506958289736,0.684728059087468,0.7257121853051498,0.7542682026199437,0.6511028155792581,0.7162326636301923,0.7481182343402359,17,14,14,14,14,7,12,7,12,12,8,8,12,12,6,6,7,7,10,10,12,12,8,8,12,12,1169051.0,512240.0,195864.0,412589.0,107338.0,195864.0,,,,,,198453.0,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2024-03-31,90174.0,34077.0,,,,,,No Forecast,0.0,0.0,0.0,0.5129889761408736,0.8669217044594798,0.3539327283186062,0.5020962161470466,0.935937295838659,0.43384107969161245,0.5113817401039168,0.8592143999941234,0.37790272140528314,0.0,-0.37790272140528314,0.5588523239937239,0.7542682026199437,0.5608265154928117,0.7481182343402359,0.0,0.0,0.0,0.0,0.0,0.0,0.7070125990507505,0.7867634031126405,0.8669217044594798,0.9097308009630647,0.7953438671706544,0.935937295838659,0.6639596671645444,0.7920441988623236,0.8592143999941234,0.0,-0.37790272140528314,0.0,-0.37790272140528314,0.0,-0.37790272140528314,0.684728059087468,0.7257121853051498,0.7542682026199437,0.6511028155792581,0.7162326636301923,0.7481182343402359,17,14,14,14,14,7,12,7,12,12,8,8,12,12,6,6,7,7,10,10,12,12,8,8,12,12,1169051.0,512240.0,195864.0,412589.0,107338.0,195864.0,,,,,,214835.0,,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2024-04-30,51098.0,21061.0,,,,,,No Forecast,0.4113405338376812,0.0,-0.4113405338376812,0.5129889761408736,0.8669217044594798,0.3539327283186062,0.5020962161470466,0.935937295838659,0.43384107969161245,0.5113817401039168,0.8592143999941234,0.41216877372891303,0.0,-0.41216877372891303,0.5588523239937239,0.7542682026199437,0.5608265154928117,0.7481182343402359,0.0,-0.4113405338376812,0.0,-0.4113405338376812,0.0,-0.4113405338376812,0.7070125990507505,0.7867634031126405,0.8669217044594798,0.9097308009630647,0.7953438671706544,0.935937295838659,0.6639596671645444,0.7920441988623236,0.8592143999941234,0.0,-0.41216877372891303,0.0,-0.41216877372891303,0.0,-0.41216877372891303,0.684728059087468,0.7257121853051498,0.7542682026199437,0.6511028155792581,0.7162326636301923,0.7481182343402359,17,14,14,14,14,7,12,7,12,12,8,8,12,12,6,6,7,7,10,10,12,12,8,8,12,12,1169051.0,512240.0,195864.0,412589.0,107338.0,195864.0,,,,,,191931.0,78949.0,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,1251748.0,249470643.92,2024-05-31,59773.0,17352.0,71117.0,71117.0,47475.0,82725.0,71117.0,GS,0.36056604242831203,0.0,-0.36056604242831203,0.5129889761408736,0.8669217044594798,0.3539327283186062,0.5020962161470466,0.935937295838659,0.43384107969161245,0.5113817401039168,0.8592143999941234,0.290298295216904,0.8102153146069295,0.5199170193900255,0.5588523239937239,0.7542682026199437,0.5608265154928117,0.7481182343402359,0.0,-0.36056604242831203,0.0,-0.36056604242831203,0.0,-0.36056604242831203,0.7070125990507505,0.7867634031126405,0.8669217044594798,0.9097308009630647,0.7953438671706544,0.935937295838659,0.6639596671645444,0.7920441988623236,0.8592143999941234,0.7942549311562077,0.5039566359393037,0.6160139193281247,0.3257156241112207,0.8102153146069295,0.5199170193900255,0.684728059087468,0.7257121853051498,0.7542682026199437,0.6511028155792581,0.7162326636301923,0.7481182343402359,17,14,14,14,14,7,12,7,12,12,8,8,12,12,6,6,7,7,10,10,12,12,8,8,12,12,1169051.0,512240.0,195864.0,412589.0,107338.0,195864.0,,,,,,201045.0,72490.0,,,,,Medium,High,High,High,High,High,,High
